normalized,pnsp_compound,pur_chem_code,cfr180_section,dtxsid,dtxsid_match,unresolved_reason
PYRACLOSTROBIN,PYRACLOSTROBIN,5759,180.582,DTXSID7032638,exact,
PYRAFLUFENETHYL,PYRAFLUFEN ETHYL,5865,180.585,DTXSID8034871,exact,
PYRASULFOTOLE,PYRASULFOTOLE,6211,180.631,DTXSID2044343,exact,
PYRETHRINS,PYRETHRINS,510,180.128,DTXSID8034873,exact,
PYRIDABEN,PYRIDABEN,3959,180.494,DTXSID5032573,exact,
PYRIMETHANIL,PYRIMETHANIL,5864,180.518,DTXSID8034877,exact,
PYRIPROXYFEN,PYRIPROXYFEN,4019,180.51,DTXSID1032640,exact,
PYRITHIOBACSODIUM,PYRITHIOBAC-SODIUM,3940,180.487,DTXSID8032673,exact,
PYROXASULFONE,PYROXASULFONE,6143,180.659,DTXSID4058104,exact,
PYROXSULAM,PYROXSULAM,6030,180.638,DTXSID7044344,exact,
QUINCLORAC,QUINCLORAC,5104,180.463,DTXSID6032641,exact,
QUINOXYFEN,QUINOXYFEN,5787,180.588,DTXSID2034881,exact,
QUINTOZENE,QUINTOZENE,,,DTXSID2021105,exact,
QUIZALOFOP,QUIZALOFOP,,,DTXSID60273935,exact,
RIMSULFURON,RIMSULFURON,3835,180.478,DTXSID1032642,exact,
ROTENONE,ROTENONE,518,,DTXSID6021248,exact,
SABADILLA,SABADILLA,,,DTXSID2034887,exact,
SAFLUFENACIL,SAFLUFENACIL,5977,180.649,DTXSID9058072,exact,
SETHOXYDIM,SETHOXYDIM,2177,180.412,DTXSID9024304,exact,
SILICATES,SILICATES,,,DTXSID8049628,exact,
SIMAZINE,SIMAZINE,531,180.213,DTXSID4021268,exact,
SODIUMCHLORATE,SODIUM CHLORATE,536,,DTXSID7026025,exact,
SPINETORAM,SPINETORAM,5946,180.635,DTXSID3058614,exact,
SPINOSYN,SPINOSYN,,,,prefix_only(14),parent name matches several salts/esters/isomers - needs manual selection
SPIRODICLOFEN,SPIRODICLOFEN,5857,180.608,DTXSID6034928,exact,
SPIROMESIFEN,SPIROMESIFEN,5858,180.607,DTXSID1034929,exact,
SPIROTETRAMAT,SPIROTETRAMAT,5955,180.641,DTXSID7044342,exact,
STREPTOMYCIN,STREPTOMYCIN,1217,180.245,,prefix_only(15),parent name matches several salts/esters/isomers - needs manual selection
SULFCARBAMIDE,SULFCARBAMIDE,,,,none,abbreviated or variant spelling in PNSP - needs manual mapping
SULFENTRAZONE,SULFENTRAZONE,5923,180.498,DTXSID6032645,exact,
SULFOMETURON,SULFOMETURON,,,DTXSID20225213,exact,
SULFOSATE,SULFOSATE,,,DTXSID5034939,exact,
SULFOSULFURON,SULFOSULFURON,5136,180.552,DTXSID4034940,exact,
SULFOXAFLOR,SULFOXAFLOR,6109,180.668,DTXSID0074687,exact,
SULFUR,SULFUR,560,,DTXSID9034941,exact,
SULFURIC,SULFURIC ACID,442,,DTXSID5029683,exact,
TCMTB,TCMTB,971,,DTXSID6032647,exact,
TEBUCONAZOLE,TEBUCONAZOLE,3850,180.474,DTXSID9032113,exact,
TEBUFENOZIDE,TEBUFENOZIDE,3957,180.482,DTXSID4034948,exact,
TEBUPIRIMPHOS,TEBUPIRIMPHOS,,,DTXSID1032482,exact,
TEBUTHIURON,TEBUTHIURON,1810,180.39,DTXSID3024316,exact,
